_id,first_name,last_name,role,department_id,schedule,salary,managed_by,email,gender,password
27,Faustina,Hanssmann,Nurse,6,On-call Sunday,295123.23,67,fhanssmannh@imgur.com,Female,rT7Lj?b
28,Ring,Le Gall,Nurse,2,Full week,109608.71,79,rlegalli@walmart.com,Female,jG4axIc<5/a
29,Hattie,Jasper,Nurse,8,Off-Sunday,200709.98,81,hjasperj@qq.com,Other,mB2zb&
30,Austin,Eddington,Nurse,4,Off-Sunday,174788.93,82,aeddingtonk@gizmodo.com,Male,lF1q0f&
31,Koral,Ivery,Nurse,4,Full week,267126.31,86,kiveryl@guardian.co.uk,Other,cY2ko%|qmX`R
32,Crosby,Binfield,Nurse,4,Full week,135751.08,91,cbinfieldm@nps.gov,Male,iG9$~xtm(
34,Jackelyn,Weond,Nurse,5,On-call Sunday,107643.75,96,jweondn@census.gov,Female,eU0Cs*U
35,Nadiya,Meikle,Nurse,5,On-call Sunday,293524.78,108,nmeikleo@creativecommons.org,Male,cL2%(gTSH
36,Odessa,Dottridge,Nurse,4,Full week,385672.43,109,odottridgep@usnews.com,Female,bM8T@e
37,Franklin,Gopsill,Nurse,4,Full week,77250.86,110,fgopsillq@sourceforge.net,Male,yN2W0FLol
40,Allyson,Jeffries,Nurse,1,On-call Sunday,327354.97,112,ajeffriesr@cocolog-nifty.com,Female,dE8cOU_G7o2%
41,Tersina,Butters,Nurse,10,Full week,65581.74,117,tbutterss@upenn.edu,Other,yQ1>.EOf$
42,Irina,Matyukon,Nurse,8,Full week,117469.0,118,imatyukont@facebook.com,Male,tA5si8
44,Goober,McDowall,Nurse,6,Full week,271058.6,119,gmcdowallu@patch.com,Male,vQ93|u
45,Whitney,Hargrave,Nurse,9,Full week,140284.13,122,whargravev@yandex.ru,Female,"xC9'0u9gn,i"
46,Dino,Tuma,Nurse,3,On-call Sunday,377346.46,131,dtumaw@twitter.com,Female,gS5gp{+Kvc7z
47,Robinet,Mc Gaughey,Nurse,10,Off-Sunday,316831.76,132,rmcgaugheyx@etsy.com,Female,pE1X\@R>Nl
48,Juieta,O'Brallaghan,Nurse,1,Off-Sunday,342929.93,138,jobrallaghany@netvibes.com,Male,bV27N$
49,Giusto,Rumsby,Nurse,2,Full week,179637.85,139,grumsbyz@quantcast.com,Male,mF3$fn'2r>c
50,Cchaddie,Possel,Nurse,5,Full week,199505.53,144,cpossel10@blogspot.com,Female,yI7Tfr@1gT8>
52,Katerine,Bisterfeld,Nurse,2,Full week,308509.99,145,kbisterfeld11@umich.edu,Female,nN3OQoF
53,Deborah,Bavage,Nurse,10,On-call Sunday,232367.59,151,dbavage12@ask.com,Male,zJ1j_R@}j
54,Blithe,Wornham,Nurse,4,On-call Sunday,107387.3,152,bwornham13@bbb.org,Female,iU9L0CzU(T
55,Elga,Lazar,Nurse,1,Full week,262534.82,155,elazar14@w3.org,Male,"aW3m=a""`kHB"
56,Jerrie,Cromie,Nurse,9,On-call Sunday,94528.48,158,jcromie15@biglobe.ne.jp,Male,mZ3mGa&2ZzK
58,Livy,Housaman,Nurse,2,Full week,154466.87,162,lhousaman16@buzzfeed.com,Female,mF8N>R||vO&3
59,Venus,Stoneman,Nurse,8,Full week,145849.93,166,vstoneman17@github.io,Female,jO4eb'a<Uw
62,Jerrine,Walster,Nurse,9,Full week,343451.52,167,jwalster18@whitehouse.gov,Female,"kB3,5$g"
63,Karole,Scotney,Nurse,7,Off-Sunday,320657.87,174,kscotney19@dmoz.org,Male,gO6?ESpY8Y
64,Arliene,Burg,Nurse,10,Full week,281367.92,175,aburg1a@nasa.gov,Female,"uU3V+U+{X""""_"
65,Jasmine,Sutcliff,Nurse,6,On-call Sunday,278584.39,178,jsutcliff1b@hp.com,Male,lB4l>Ykv
66,Judas,Elgey,Nurse,4,Full week,337551.78,182,jelgey1c@amazon.co.jp,Male,xV3>FG(
68,Nonie,Navarro,Nurse,6,On-call Sunday,394772.04,184,nnavarro1d@godaddy.com,Male,wM2vlZteIR
69,Huntlee,Hilling,Nurse,9,Full week,398540.12,192,hhilling1e@youtube.com,Female,uD0=@0_9L61
70,Harriott,Bromhead,Nurse,5,Full week,337668.87,195,hbromhead1f@cnbc.com,Other,"jD9A3""6l|=J"
71,Erinn,Hathaway,Nurse,10,On-call Sunday,255951.73,201,ehathaway1g@theguardian.com,Male,"nU3Qk""NngXt"
72,Arte,Sunter,Nurse,6,Full week,263654.45,210,asunter1h@discovery.com,Male,mL3(X|vLh
73,Kalvin,Dutson,Nurse,7,Full week,380250.52,212,kdutson1i@ucsd.edu,Male,cA7&WBh=Z))|
74,Cesar,Gorwood,Nurse,10,Full week,205728.6,213,cgorwood1j@zimbio.com,Other,qD8qY$b{YF
75,Aurore,Urian,Nurse,2,On-call Sunday,324285.09,217,aurian1k@mail.ru,Other,dB7P'wk8
76,Merline,Livard,Nurse,8,Full week,209888.2,219,mlivard1l@usgs.gov,Female,bO0W5VzfQ
77,Dionis,Plummer,Nurse,7,Full week,89832.05,223,dplummer1m@freewebs.com,Other,iP21*AR7Kfe>
78,Eric,Berryman,Nurse,2,Full week,138187.48,225,eberryman1n@google.ca,Male,sR3CAqy|
80,Sam,Samwell,Nurse,2,On-call Sunday,232534.09,229,ssamwell1o@newsvine.com,Female,yB36wy9vq
83,Eddy,Hardistry,Nurse,2,Full week,112418.22,233,ehardistry1p@blog.com,Male,jO9zy44hZ`$=
84,Emyle,Alexsandrovich,Nurse,3,Full week,338511.0,235,ealexsandrovich1q@xinhuanet.com,Female,sJ65n`~j
85,Adey,Danter,Nurse,2,Full week,308186.75,238,adanter1r@dailymotion.com,Male,jB8X#Eh
87,Gill,Denacamp,Nurse,3,Full week,67888.86,241,gdenacamp1s@cam.ac.uk,Other,hL6$XP0)t
88,Wernher,Witherbed,Nurse,9,On-call Sunday,358633.12,246,wwitherbed1t@nydailynews.com,Female,pW7PkJrG%k
89,Aron,Polglase,Nurse,3,On-call Sunday,355855.6,248,apolglase1u@163.com,Male,mP4Ege%Gd
90,Manya,Bonevant,Nurse,5,On-call Sunday,125872.82,250,mbonevant1v@cdc.gov,Other,xY5AUvF
92,Tucker,Flather,Nurse,2,Off-Sunday,375944.63,252,tflather1w@drupal.org,Female,cH12'bpnCPO
93,Durante,Skacel,Nurse,5,Off-Sunday,351225.69,253,dskacel1x@netscape.com,Male,iN0E(Ia_AaPh
94,Keely,Jira,Nurse,10,On-call Sunday,96834.22,256,kjira1y@cocolog-nifty.com,Male,bM1U&K
95,Doug,Bogace,Nurse,6,On-call Sunday,284266.76,258,dbogace1z@npr.org,Female,sU5Zv~2Y
97,Darsie,Gierck,Nurse,7,On-call Sunday,110073.35,261,dgierck20@cnbc.com,Male,bL2#z90%dTVv
98,Stephanus,Duncan,Nurse,2,Full week,181666.88,262,sduncan21@chron.com,Female,kB3EfpR5>)
99,Cora,Philipard,Nurse,7,On-call Sunday,300550.03,264,cphilipard22@hostgator.com,Other,nN6$Wm{RdL~)
100,Yanaton,Helis,Nurse,9,Full week,74997.67,267,yhelis23@auda.org.au,Female,yM8~Ds`o\6\E
101,Zoe,Di Maggio,Nurse,3,Off-Sunday,220724.98,269,zdimaggio24@cyberchimps.com,Male,dG6lUd
102,Roderick,Mathison,Nurse,1,Full week,117837.07,270,rmathison25@exblog.jp,Female,qB8kiH\rk9I_
103,Sumner,Morewood,Nurse,3,On-call Sunday,359870.68,271,smorewood26@mediafire.com,Female,iM5rH8P_T
104,Gaelan,Hatfield,Nurse,8,Full week,87914.83,273,ghatfield27@discuz.net,Male,"gZ0<L,L?"
105,Luca,Liebermann,Nurse,8,Off-Sunday,275177.22,274,lliebermann28@google.ru,Male,sS1upA5
106,Catherine,Whitwell,Nurse,8,On-call Sunday,259688.89,275,cwhitwell29@pbs.org,Female,sH4ffDSq.
107,Gussy,Lowers,Nurse,4,Off-Sunday,357295.91,276,glowers2a@bbb.org,Female,kG2ITG?ab
111,Sal,O'Keeffe,Nurse,7,Off-Sunday,101108.75,277,sokeeffe2b@alexa.com,Female,oF6HMaABOB
113,Mil,Stockill,Nurse,1,On-call Sunday,389012.43,286,mstockill2c@wix.com,Female,"eI9xBnH,YD"
114,Tanhya,Hayden,Nurse,4,Full week,105778.06,292,thayden2d@instagram.com,Female,uR33\V
115,Hoebart,Francino,Nurse,6,Full week,269080.15,293,hfrancino2e@altervista.org,Male,vE08tQu\w}
116,Ellie,Mellody,Nurse,3,Off-Sunday,199864.74,298,emellody2f@creativecommons.org,Female,xR7Sd#u6e2{
120,Kristel,Ribeiro,Nurse,4,Off-Sunday,152101.94,299,kribeiro2g@ed.gov,Male,"zB4X""~})|R"
121,Ed,Sworne,Nurse,8,Full week,234586.64,1,esworne2h@cnn.com,Female,"bF1?uf""t}"
123,Elga,Hallaways,Nurse,3,Full week,280123.92,4,ehallaways2i@cmu.edu,Female,wY1EMldu$+a
124,Kayle,Richfield,Nurse,8,Full week,255704.37,8,krichfield2j@bbb.org,Male,bF3YNP
125,Melisande,Jacobs,Nurse,4,On-call Sunday,209437.0,9,mjacobs2k@economist.com,Male,dV078$!
126,Leonhard,Toll,Nurse,1,Full week,350304.52,13,ltoll2l@soup.io,Male,vB2Q8Ppx'HMo
127,Koressa,Scorer,Nurse,7,Full week,194004.9,16,kscorer2m@hud.gov,Male,bK6u2xj3B0e
128,Christie,Mitchall,Nurse,5,On-call Sunday,204850.83,19,cmitchall2n@springer.com,Female,iU4LnJ
129,Aleece,Strickler,Nurse,1,On-call Sunday,114533.6,24,astrickler2o@microsoft.com,Other,rS6Nss/NI
130,Lind,Denniss,Nurse,3,Full week,375390.92,26,ldenniss2p@dropbox.com,Male,iE7B+Ul
133,Rolfe,Maro,Nurse,9,On-call Sunday,213191.17,33,rmaro2q@netlog.com,Male,bR1|Nb9
134,Manolo,Rachuig,Nurse,3,Full week,70985.41,38,mrachuig2r@spiegel.de,Male,qR0eC/uE34U
135,Louie,Gricks,Nurse,1,Full week,181755.55,39,lgricks2s@blog.com,Other,eF1%3uIhl
136,Mellisa,O'Meara,Nurse,2,On-call Sunday,142369.76,43,momeara2t@columbia.edu,Male,sV1|KXL
137,Templeton,Bothwell,Nurse,4,Off-Sunday,232538.1,51,tbothwell2u@oaic.gov.au,Female,eR1p_A~
140,Pete,Coneybeare,Nurse,4,Full week,138407.49,57,pconeybeare2v@paginegialle.it,Female,dG5!'04x*j
141,Angelico,Humm,Nurse,4,Full week,396075.37,60,ahumm2w@de.vu,Female,xK5vXkzf\&TM
142,Alvina,Tidcomb,Nurse,7,Off-Sunday,372213.22,61,atidcomb2x@mit.edu,Male,sA9*f51
143,Lee,Farrear,Nurse,6,Full week,219841.61,67,lfarrear2y@exblog.jp,Other,"sA6""|Vg|"
146,Flossie,Eagles,Nurse,4,Full week,209290.9,79,feagles2z@barnesandnoble.com,Other,wT5Zf>M4fW
147,Denni,Lillyman,Nurse,2,Full week,170021.24,81,dlillyman30@shop-pro.jp,Female,"gB8!""@2,"
148,Vyky,Sonley,Nurse,6,Full week,166124.94,82,vsonley31@fema.gov,Female,mB6p<|
149,Faye,Gowenlock,Nurse,6,Off-Sunday,358294.28,86,fgowenlock32@constantcontact.com,Male,rZ3@Mif7.
150,Alie,Itzkovitch,Nurse,4,On-call Sunday,80336.07,91,aitzkovitch33@utexas.edu,Female,tR07&`fJ~
153,Elise,Audiss,Nurse,5,Full week,115853.06,96,eaudiss34@berkeley.edu,Male,gG7(od|a
154,Emerson,Cheeney,Nurse,3,Off-Sunday,64586.35,108,echeeney35@xing.com,Male,uG1(RF9NMmcs
156,Eben,Lace,Nurse,2,Full week,368904.86,109,elace36@hc360.com,Male,nR3?KmBGK
157,Lorne,Blunderfield,Nurse,10,On-call Sunday,319112.51,110,lblunderfield37@themeforest.net,Female,pJ3hnz
159,Brita,Cornall,Nurse,7,On-call Sunday,164513.89,112,bcornall38@vistaprint.com,Male,"nJ7>,HE\"
160,Joyann,Hrinchenko,Nurse,2,Full week,145980.34,117,jhrinchenko39@archive.org,Female,vC7vVf
161,Janith,Astles,Nurse,6,Off-Sunday,313624.1,118,jastles3a@virginia.edu,Female,"kH1_,yRPaWkd"
163,Freddy,Rojel,Nurse,2,Full week,326468.94,119,frojel3b@bigcartel.com,Female,uR9#EyIrNQ
164,Ewart,Real,Nurse,9,On-call Sunday,224369.78,122,ereal3c@topsy.com,Female,xL5wBTK*6
165,Zaneta,Casbolt,Nurse,7,On-call Sunday,355761.74,131,zcasbolt3d@opensource.org,Other,"mN6!wjcAI"""
168,Maurise,Jencken,Nurse,3,Off-Sunday,100499.0,132,mjencken3e@yahoo.com,Male,jH4i0V~m.Hs
169,Tonnie,Wilkins,Nurse,6,On-call Sunday,245683.61,138,twilkins3f@taobao.com,Other,vM1cE+Jj<
170,August,Bourgeois,Nurse,8,On-call Sunday,354099.77,139,abourgeois3g@shop-pro.jp,Male,pT6/zvM2x
171,Adel,Rosenzveig,Nurse,7,On-call Sunday,258274.11,144,arosenzveig3h@shutterfly.com,Female,iJ1(R$DTNG\
172,Dodie,Behagg,Nurse,4,Full week,288499.9,145,dbehagg3i@ebay.co.uk,Other,zY6C@>rC*
173,Barthel,Sabban,Nurse,6,On-call Sunday,341833.18,151,bsabban3j@miibeian.gov.cn,Female,"aZ2nHML,9"
176,Aylmar,Cunde,Nurse,3,On-call Sunday,56450.44,152,acunde3k@hud.gov,Female,lK22Rj0.hD
177,Johna,Cluet,Nurse,2,Off-Sunday,97092.92,155,jcluet3l@csmonitor.com,Female,"tH6D5,/a"
179,Abbi,Couroy,Nurse,4,Full week,197716.32,158,acouroy3m@ameblo.jp,Other,hB6`nC
180,Adi,Bente,Nurse,10,On-call Sunday,339618.0,162,abente3n@sfgate.com,Female,cE8f5MS
181,Alaric,Hubery,Nurse,8,Full week,51787.26,166,ahubery3o@imageshack.us,Other,sN0D$~i?
183,Alan,Topes,Nurse,3,Full week,300070.02,167,atopes3p@booking.com,Other,qH7&>_6$
185,Adelheid,Brigdale,Nurse,6,Full week,218962.58,174,abrigdale3q@infoseek.co.jp,Other,xK8HIlG\
186,Muffin,Marioneau,Nurse,7,Full week,120792.93,175,mmarioneau3r@house.gov,Female,qZ5GZ.}
187,Fairfax,Sabathe,Nurse,5,Full week,303320.8,178,fsabathe3s@utexas.edu,Other,"fB4AX.,?Q"
188,Colin,Kinnerley,Nurse,8,Full week,249776.15,182,ckinnerley3t@netvibes.com,Female,oC1YI82
189,Aimil,Duffree,Nurse,9,On-call Sunday,214831.89,184,aduffree3u@jugem.jp,Female,vJ2Lwu
190,Yorke,Freemantle,Nurse,8,Full week,241255.37,192,yfreemantle3v@printfriendly.com,Female,lE2Wn~I$lS>?
191,Venita,Blanden,Nurse,5,Full week,255335.12,195,vblanden3w@ucoz.com,Male,"zF4vXN,/"
193,Corinna,Battin,Nurse,1,On-call Sunday,152451.89,201,cbattin3x@furl.net,Female,bL7_<=
194,Kizzee,Ayton,Nurse,7,Full week,191167.43,210,kayton3y@google.it,Male,xO1rNbAr=
196,Chilton,Chalker,Nurse,9,On-call Sunday,267988.84,212,cchalker3z@wordpress.com,Male,wI1\cr
197,Martynne,Mulqueeny,Nurse,9,On-call Sunday,68119.93,213,mmulqueeny40@macromedia.com,Female,"iB1VeP<,R"
198,Blondelle,Boame,Nurse,8,On-call Sunday,156024.42,217,bboame41@google.es,Male,"kM1<lE15!,"
199,Roselin,Nevitt,Nurse,5,Full week,251000.63,219,rnevitt42@illinois.edu,Other,rH3+kKC{/'qV
200,Keane,Dyment,Nurse,4,Full week,151191.37,223,kdyment43@phoca.cz,Female,bN5pmY4KY!@!
202,Alexandros,Hamer,Nurse,10,Full week,312785.15,225,ahamer44@edublogs.org,Male,qZ6o=T
203,Francesca,Brammar,Nurse,2,Full week,398734.93,229,fbrammar45@wikispaces.com,Female,kW9MdHPueSSJ
204,Bertina,Andrzejowski,Nurse,5,Off-Sunday,377601.9,233,bandrzejowski46@skyrock.com,Female,gK9GC9
205,Tori,Nutbean,Nurse,3,Full week,292483.49,235,tnutbean47@pinterest.com,Male,rG5K`(|
206,Titus,Mateja,Nurse,9,Off-Sunday,261586.62,238,tmateja48@diigo.com,Female,gJ2GD\xx?
207,Kirsti,Hellsdon,Nurse,4,Off-Sunday,352079.76,241,khellsdon49@technorati.com,Other,qQ5I6n
208,Ellette,Abercrombie,Nurse,10,Full week,278030.8,246,eabercrombie4a@sina.com.cn,Female,yI03WN
209,Paula,Washington,Nurse,9,On-call Sunday,250431.72,248,pwashington4b@diigo.com,Female,nM1WQBQ#Is
211,Kalinda,Holtham,Nurse,1,Full week,306474.69,250,kholtham4c@rambler.ru,Male,pT5R@A7*
214,Artemas,Hainey`,Nurse,9,Full week,326092.87,252,ahainey4d@blogtalkradio.com,Female,dE1Qf8~+Nc
215,Gui,Kohlert,Nurse,3,Full week,398921.42,253,gkohlert4e@51.la,Other,"bR1w("""
216,Kat,Danilchik,Nurse,7,Full week,85637.74,256,kdanilchik4f@admin.ch,Female,iI0XV@eX~t
218,Tomasina,Melan,Nurse,8,Off-Sunday,357286.24,258,tmelan4g@webmd.com,Female,fR3yi`TD&|
220,Corie,Reyes,Nurse,5,On-call Sunday,267540.8,261,creyes4h@yandex.ru,Female,iO2.fXct#Q_o
221,Maggi,Bowkley,Nurse,7,Full week,121905.15,262,mbowkley4i@army.mil,Other,mU6hM+*F7
222,Jerad,Yakubov,Nurse,4,Full week,219032.37,264,jyakubov4j@aol.com,Other,jQ5aYM(FXt
224,Diana,Jennens,Nurse,9,On-call Sunday,129939.23,267,djennens4k@samsung.com,Female,dI6iT1Ku
226,Knox,Lyfield,Nurse,9,On-call Sunday,391031.37,269,klyfield4l@yahoo.co.jp,Female,tN5X%(Vj
227,Emylee,Albro,Nurse,2,Full week,182877.06,270,ealbro4m@mapy.cz,Other,hC63anq93D}5
228,Faunie,Bartczak,Nurse,2,On-call Sunday,107315.25,271,fbartczak4n@wisc.edu,Female,rT0`Y4|
230,Constantino,Bridgewater,Nurse,7,Off-Sunday,269952.14,273,cbridgewater4o@delicious.com,Male,mH0QRBWaS
231,Ike,Denis,Nurse,3,Full week,108947.65,274,idenis4p@nature.com,Male,zL4T6Sai
232,Ellerey,Scone,Nurse,10,On-call Sunday,142837.34,275,escone4q@fotki.com,Female,qV0D#_<k.R)
234,Fletch,Moyle,Nurse,10,Full week,87224.25,276,fmoyle4r@chron.com,Female,tO1mCFF66}H5
236,Karissa,Cockcroft,Nurse,1,Full week,310425.14,277,kcockcroft4s@exblog.jp,Female,eZ9`ZefepEWP
237,Olivette,Reyburn,Nurse,4,On-call Sunday,347015.22,286,oreyburn4t@geocities.jp,Male,eN7ad#
239,Ninnette,Crowley,Nurse,3,On-call Sunday,281139.32,292,ncrowley4u@businessweek.com,Female,pE1i*66<eSFc
240,Micheline,Hanselman,Nurse,6,Full week,238731.47,293,mhanselman4v@csmonitor.com,Female,"rI46!8""M?'@"
242,Nataline,Goncalo,Nurse,5,Full week,126280.0,298,ngoncalo4w@storify.com,Female,xP4%Cw
243,Georgetta,Greatorex,Nurse,6,On-call Sunday,123436.14,299,ggreatorex4x@livejournal.com,Other,bG3k7Tp#4qF
244,Caryn,Devonish,Nurse,6,Off-Sunday,380403.01,1,cdevonish4y@theatlantic.com,Other,nI52~4
245,Carlie,Forsdyke,Nurse,8,Full week,54216.94,4,cforsdyke4z@youtube.com,Male,dY8ojQ#hw
247,Lanie,Ephson,Nurse,9,Full week,150577.92,8,lephson50@mlb.com,Other,dL0g=$e
249,Jodi,Charlick,Nurse,6,Off-Sunday,97182.58,9,jcharlick51@rambler.ru,Male,uN1su~+wvggs
251,Frankie,Turpie,Nurse,7,On-call Sunday,307508.14,13,fturpie52@goo.ne.jp,Female,mT5v=}
254,Law,Kellett,Nurse,1,On-call Sunday,174790.44,16,lkellett53@walmart.com,Female,"vM2v,)5?O$w"
255,Karel,Sex,Nurse,7,On-call Sunday,374172.45,19,ksex54@archive.org,Female,aY38?CS
257,Sal,Berens,Nurse,10,On-call Sunday,394004.88,24,sberens55@dot.gov,Male,aG1{wx\
259,Heloise,Soitoux,Nurse,4,On-call Sunday,294743.46,26,hsoitoux56@biglobe.ne.jp,Male,uE9?ePk
260,Moina,Stonman,Nurse,10,Full week,85330.77,33,mstonman57@hibu.com,Male,"fS0>T""=&>6w5"
263,Berke,Swedeland,Nurse,2,Full week,354401.3,38,bswedeland58@purevolume.com,Male,wF5~1@
265,Benedetta,Zannotelli,Nurse,3,On-call Sunday,339637.33,39,bzannotelli59@wikia.com,Male,yU4!<26A
266,Marigold,Skettles,Nurse,9,Off-Sunday,293267.77,43,mskettles5a@statcounter.com,Male,bE59mT'j0N?
268,Wendi,Paulin,Nurse,3,Full week,150159.81,51,wpaulin5b@liveinternet.ru,Female,lU3>cu
272,Toma,McPherson,Nurse,2,Full week,355494.96,57,tmcpherson5c@sohu.com,Other,uR2I|P_|L
278,Van,Jasik,Nurse,2,Full week,118162.73,60,vjasik5d@loc.gov,Other,cO3RuC
279,Rip,Mullane,Nurse,2,On-call Sunday,118200.01,61,rmullane5e@archive.org,Female,lW2v9~?.B8vW
280,Bradford,Joysey,Nurse,3,Full week,72299.7,67,bjoysey5f@skype.com,Male,jF5dz\vb
281,Elmo,Morsom,Nurse,6,On-call Sunday,296574.91,79,emorsom5g@cloudflare.com,Female,fF47FER
282,Kitti,Walesa,Nurse,10,On-call Sunday,261232.69,81,kwalesa5h@slate.com,Female,gX8M#1WeY
283,Korney,Held,Nurse,10,On-call Sunday,158278.1,82,kheld5i@tripod.com,Female,"dW8kQ,$"
284,Danita,Gonnet,Nurse,3,On-call Sunday,341416.0,86,dgonnet5j@foxnews.com,Female,jL7#}pQ
285,Bobby,Breslau,Nurse,4,Full week,109405.57,91,bbreslau5k@smugmug.com,Male,"oT4|5}n""7/y"
287,Lezley,Brewer,Nurse,7,Full week,159612.86,96,lbrewer5l@a8.net,Other,sP4}Ni
288,Xavier,Berston,Nurse,2,Full week,129519.29,108,xberston5m@cnn.com,Other,yZ0Tt=3*tBP`
289,Odey,Pallent,Nurse,10,Full week,287094.34,109,opallent5n@economist.com,Female,xI4NmKd
290,Monti,Swannell,Nurse,2,Full week,238457.26,110,mswannell5o@newyorker.com,Female,lY4zXV
291,Devon,Antoszewski,Nurse,1,Off-Sunday,268671.79,112,dantoszewski5p@feedburner.com,Female,kY4%@4/5gS
294,Jacky,Galea,Nurse,7,Full week,251576.34,117,jgalea5q@behance.net,Female,vL5@'q(
295,Sheila,Chart,Nurse,2,Full week,210432.34,118,schart5r@about.me,Female,nY5>1Q7mOBH
296,Elene,Wigsell,Nurse,8,Full week,106848.04,119,ewigsell5s@elpais.com,Male,"sJ8TAp,"
297,Muriel,Connolly,Nurse,6,Off-Sunday,188728.17,122,mconnolly5t@ezinearticles.com,Other,cH9P0L\FT
300,Gallagher,Whitten,Nurse,7,Full week,55450.87,131,gwhitten5u@sun.com,Female,dS8bdgjJ+R8w
